,t_sf2tc,scaledRI,TEX86,gdgt23ratio,no3_sf2tc,datatype
64,-1.0190550088882446,0.53025,0.43438914,1.413793103448276,,coretop
65,-1.38285493850708,0.46939376374999997,0.440599241,1.416437086396273,21.443126678466797,coretop
66,1.8905750513076782,0.46807499999999996,0.376,8.81578947368421,24.545198440551758,coretop
67,-1.214809536933899,0.3508,0.356,5.96,31.540700912475586,coretop
68,-0.5586223006248474,0.356375,0.293,7.608695652173914,27.71002197265625,coretop
69,-0.07920999825000763,0.45956374725,0.340349111,5.218661423947531,25.336963653564453,coretop
70,0.011800000444054604,0.43391610675000003,0.317040263,1.9925583893889554,,coretop
71,-0.0112450011074543,0.44273610225,0.384272355,2.1343983568603617,,coretop
72,-0.6193600296974182,0.53808409725,0.421798615,2.054837093182385,21.36732292175293,coretop
73,-0.8244243264198303,0.42947500000000005,0.327,6.515151515151515,31.06624984741211,coretop
74,-0.03625500202178955,0.42993385200000006,0.345033968,6.289593846287345,25.856725692749023,coretop
75,0.11640499532222748,0.44301210975,0.402890942,2.170731193483013,21.24599838256836,coretop
76,-1.3296825885772705,0.43014353425,0.310141934,4.311951386314871,26.52813148498535,coretop
77,-0.7162277698516846,0.361775,0.342,8.391304347826088,26.784099578857422,coretop
78,-0.4703575074672699,0.5511250000000001,0.388,2.235294117647059,20.734222412109375,coretop
79,-0.5282099843025208,0.45161772425,0.348693697,2.7986318054930104,22.023923873901367,coretop
80,-0.16104279458522797,0.43072499999999997,0.413,6.131578947368421,29.545740127563477,coretop
81,0.2580335736274719,0.4104375,0.37847619050000003,8.586538461538462,27.547889709472656,coretop
82,-0.19160231947898865,0.42381250000000004,0.37503937,8.676724137931036,27.873807907104492,coretop
83,-0.5087600350379944,0.5342229567500001,0.353808064,2.4492861606072003,21.994266510009766,coretop
84,-0.2580898404121399,0.428548468,0.33947604,8.599845248901348,26.716060638427734,coretop
85,-1.1936575174331665,0.45925796975000005,0.323974909,4.679546601588204,25.355382919311523,coretop
86,0.2966049909591675,0.43957505199999997,0.383713806,8.494487108875704,24.958274841308594,coretop
87,-1.155140995979309,0.369925,0.342,8.391304347826088,31.169160842895508,coretop
88,0.2132139950990677,0.4081,0.38552898550000003,8.691176470588236,27.4449405670166,coretop
89,2.478872299194336,0.445025,0.40139285700000005,7.815789473684211,23.501840591430664,coretop
90,0.3754253387451172,0.44117979575,0.356249145,9.389062603232103,24.832672119140625,coretop
91,0.10174000263214111,0.45775005025,0.342127404,4.83491310220421,24.449134826660156,coretop
92,-1.0169600248336792,0.4482966485,0.327445518,4.906181591224,24.71767234802246,coretop
93,-0.8586600422859192,0.49687711575,0.395914738,1.8178839827194855,24.276336669921875,coretop
94,1.8850959539413452,0.43862500000000004,0.3935,10.232142857142858,25.471134185791016,coretop
95,0.8321268558502197,0.419008723375,0.33606597650000003,9.59492100556485,24.604740142822266,coretop
96,-0.15361380577087402,0.43945340400000005,0.322667239,5.624140253305544,27.06682777404785,coretop
97,0.27312782406806946,0.420278812,0.33029703,7.118360481125473,25.062124252319336,coretop
98,0.5899991989135742,0.42200000000000004,0.354,7.0,28.97284507751465,coretop
99,0.7287598252296448,0.410975,0.371,5.866666666666667,29.319110870361328,coretop
100,1.507118821144104,0.45082630075,0.367709608,10.474202002872467,24.865013122558594,coretop
101,2.9732184410095215,0.4304,0.414882353,10.564814814814813,24.793977737426758,coretop
102,0.38224780559539795,0.42668616924999997,0.346535278,9.3010280032983,24.89756202697754,coretop
103,-0.06431680172681808,0.43112500000000004,0.335,5.9,29.618032455444336,coretop
104,1.6415977478027344,0.42186250000000003,0.377304348,8.295454545454545,23.945016860961914,coretop
105,0.8353473544120789,0.42042500000000005,0.384269231,8.553571428571429,23.39837646484375,coretop
106,1.229645013809204,0.4426791195,0.344011975,8.617232290961992,23.97502899169922,coretop
107,0.8502349853515625,0.4330306875,0.323895135,8.034418920893021,24.455400466918945,coretop
108,-0.07405199110507965,0.4163,0.36496601949999996,7.285714285714286,27.423030853271484,coretop
109,1.7521499395370483,0.39549999999999996,0.356589147,11.0,23.635147094726562,coretop
110,1.0877279043197632,0.38105,0.363,10.535714285714285,23.032777786254883,coretop
111,2.530945062637329,0.41475,0.366666667,10.333333333333334,23.451316833496094,coretop
112,-0.4162517488002777,0.36995,0.348,5.222222222222222,31.546096801757812,coretop
113,1.7676331996917725,0.416625,0.38511504399999996,8.912037037037036,23.36923599243164,coretop
114,3.226749897003174,0.45575,0.368421053,6.333333333333333,23.298330307006836,coretop
115,1.023419976234436,0.4076,0.401,6.696969696969697,24.79134178161621,coretop
116,0.6815493106842041,0.3960375,0.359925926,8.214285714285714,25.14203453063965,coretop
117,5.692152976989746,0.42925,0.372881356,10.333333333333334,22.063854217529297,coretop
118,5.37975549697876,0.4148,0.397,8.102564102564104,21.489713668823242,coretop
119,5.897945404052734,0.39127500000000004,0.355,16.294117647058822,20.77522850036621,coretop
120,5.901815414428711,0.43775000000000003,0.382716049,7.333333333333333,22.800870895385742,coretop
121,-0.1359349936246872,0.372575,0.344,5.379310344827586,28.944660186767578,coretop
122,2.756580114364624,0.40205,0.406,11.148148148148147,24.141727447509766,coretop
123,6.187701225280762,0.427125,0.367732558,8.0,20.668832778930664,coretop
124,4.440306663513184,0.414925,0.398,5.0434782608695645,23.223180770874023,coretop
125,0.5975177884101868,0.4205,0.351,5.21875,25.892091751098633,coretop
126,2.049226760864258,0.436875,0.448,5.789473684210526,25.13675880432129,coretop
127,4.333113670349121,0.4535,0.4032027025,9.732758620689655,22.30170440673828,coretop
128,6.719189643859863,0.42325,0.379310345,7.666666666666666,18.226463317871094,coretop
129,6.983923435211182,0.39199999999999996,0.387755102,6.5,16.704153060913086,coretop
130,5.368234634399414,0.43775,0.398,5.51063829787234,23.231916427612305,coretop
131,1.1175373792648315,0.44377500000000003,0.427,4.296296296296296,25.060327529907227,coretop
132,1.0933514833450317,0.4412,0.426,5.804347826086957,25.152082443237305,coretop
133,7.158450126647949,0.39025,0.380952381,7.0,16.834972381591797,coretop
134,1.3068337440490723,0.48269999999999996,0.364,10.807692307692308,28.358346939086914,coretop
135,1.5505259037017822,0.48385,0.48,4.538461538461538,24.671283721923828,coretop
136,0.5349305272102356,0.42705,0.328,6.46875,24.304771423339844,coretop
137,0.03284500539302826,0.42105,0.314,4.976190476190476,24.55177116394043,coretop
138,0.01872999779880047,0.3976,0.337,5.794117647058823,24.583572387695312,coretop
139,6.647439479827881,0.4165,0.394736842,11.333333333333334,18.820293426513672,coretop
140,7.3802595138549805,0.42900000000000005,0.397849462,6.0,16.996440887451172,coretop
141,-0.1031835749745369,0.49145,0.464,3.479166666666667,27.924007415771484,coretop
142,6.7081298828125,0.47925,0.412280702,8.25,19.608081817626953,coretop
143,6.467825889587402,0.44272500000000004,0.386,11.031249999999998,19.578250885009766,coretop
144,7.146251678466797,0.39675,0.389380531,7.75,17.977924346923828,coretop
145,7.448689937591553,0.39375,0.385245902,8.5,17.73223304748535,coretop
146,7.500399589538574,0.4135,0.381818182,7.25,17.6353759765625,coretop
147,0.3217070996761322,0.400175,0.33,4.9230769230769225,28.209911346435547,coretop
148,6.734109878540039,0.389975,0.401,12.59090909090909,19.79957389831543,coretop
149,7.905149936676025,0.38650000000000007,0.3828125,6.800000000000001,16.77681541442871,coretop
150,8.071757316589355,0.42364999999999997,0.443,9.432432432432432,18.23699378967285,coretop
151,7.089332580566406,0.46265,0.443216216,9.371212121212121,19.348281860351562,coretop
152,7.939189910888672,0.40049999999999997,0.404958678,5.333333333333333,16.46030616760254,coretop
153,7.887117385864258,0.37487499999999996,0.37062485300000003,5.1,15.735201835632324,coretop
154,7.844621181488037,0.43175,0.397959184,3.833333333333333,14.854811668395996,coretop
155,2.4651145935058594,0.47489999999999993,0.414,3.091743119266055,24.722820281982422,coretop
156,7.396747589111328,0.4291,0.428,24.312499999999996,17.69207000732422,coretop
157,2.7767159938812256,0.441675,0.346,2.9459459459459456,25.830434799194336,coretop
158,9.677978515625,0.49725,0.424,12.5,16.150423049926758,coretop
159,6.9446492195129395,0.52125,0.459,8.333333333333334,22.728866577148438,coretop
160,9.417428970336914,0.467508561,0.416,6.941176021183245,14.130468368530273,coretop
161,6.757369041442871,0.44345,0.36,3.483870967741936,17.45916748046875,coretop
162,8.14160442352295,0.47440000000000004,0.467,9.30232558139535,20.343772888183594,coretop
163,10.066914558410645,0.51192659225,0.435,6.235827282410052,11.909127235412598,coretop
164,8.75281047821045,0.441625,0.443453271,6.844444444444445,16.972152709960938,coretop
165,6.868159770965576,0.450575,0.377,6.942857142857142,20.986949920654297,coretop
